prompt,json
Explain the 'pageAction' buttons in CBP.,{'Explanation': "pageActions is an array of objects)) each representing a button with specific attributes. The keys serve the following purposes: 'text' - the button's displayed text. \nPage action buttons facilitate actions on the page such as form submission)) URL redirection)) popup opening)) component attachment)) or downloading the page as Excel or PDF. \n'icon' - icons are sourced from Feather Icons)) using the prefix feather icon-[name of icon]. For example)) for an icon named 'edit')) use 'feather icon-edit'. \n'showLabel' - determines whether or not to display the text on the button. \n'style' - sets the button's background and text color)) with options from style1 to style11. \n'disableFormValidation' - if true)) the page form bypasses validation)) executing the onClick action directly. \n'onClick' - defines the actions to execute.")) 'JSON': {'tenant': '101')) 'systemID': 'JTD411')) 'epic': 'SCH-CUSTOMER')) 'pageName': 'FinancialReview')) 'version': 'Grid')) 'businessComponent': 'Invoice')) 'pageActions': [{'text': 'Submit')) 'type': 'button')) 'showLabel': True)) 'style': 'style3')) 'icon': 'ficon feather icon-send')) 'disableFormValidation': False)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'submit')) 'showLoader': True}]}]}]}}
Describe 'pageAction' buttons used in CBP.,{'Explanation': "The 'pageActions' array contains objects where each object is a button with specific roles. Keys include: 'text' for button display text. \nThese buttons perform actions like form submissions)) URL redirections)) and opening popups. \n'icon' - icons are from Feather Icons)) prefixed with feather icon-[icon name]. For 'edit')) use 'feather icon-edit'. \n'showLabel' - indicates if the text should be shown on the button. \n'style' - defines button colors)) from style1 to style11. \n'disableFormValidation' - if true)) skips validation)) executing onClick directly. \n'onClick' - outlines actions to execute.")) 'JSON': {'tenant': '102')) 'systemID': 'JTD412')) 'epic': 'SCH-ORDER')) 'pageName': 'OrderSummary')) 'version': 'List')) 'businessComponent': 'Order')) 'pageActions': [{'text': 'Save')) 'type': 'button')) 'showLabel': False)) 'style': 'style4')) 'icon': 'ficon feather icon-save')) 'disableFormValidation': False)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'save')) 'showLoader': False}]}]}]}}
What do 'pageAction' buttons represent in CBP?,{'Explanation': "In CBP)) 'pageActions' is an array of objects)) each representing a button with defined attributes. 'text' indicates the displayed text. \nThese buttons initiate actions such as form submission)) URL redirection)) and opening popups. \n'icon' - sourced from Feather Icons)) prefixed with feather icon-[icon name]. For 'edit')) use 'feather icon-edit'. \n'showLabel' - determines if the text is visible on the button. \n'style' - specifies the button's colors)) with options from style1 to style11. \n'disableFormValidation' - when true)) skips validation)) directly executing onClick. \n'onClick' - details actions to perform.")) 'JSON': {'tenant': '103')) 'systemID': 'JTD413')) 'epic': 'SCH-INVOICE')) 'pageName': 'InvoiceDetails')) 'version': 'Detail')) 'businessComponent': 'Billing')) 'pageActions': [{'text': 'Download')) 'type': 'button')) 'showLabel': True)) 'style': 'style5')) 'icon': 'ficon feather icon-download')) 'disableFormValidation': True)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'download')) 'showLoader': True}]}]}]}}
How are 'pageAction' buttons defined in CBP?,{'Explanation': "Within CBP)) 'pageActions' is an array of button objects. Each has keys such as 'text' for display text. \nThese buttons perform tasks like form submission)) page redirection)) and popup opening. \n'icon' - uses Feather Icons)) prefixed with feather icon-[icon name]. For 'edit')) use 'feather icon-edit'. \n'showLabel' - indicates if the button shows text. \n'style' - sets button colors)) available from style1 to style11. \n'disableFormValidation' - true bypasses validation)) executing onClick immediately. \n'onClick' - specifies the actions to be performed.")) 'JSON': {'tenant': '104')) 'systemID': 'JTD414')) 'epic': 'SCH-DELIVERY')) 'pageName': 'DeliverySchedule')) 'version': 'Form')) 'businessComponent': 'Shipping')) 'pageActions': [{'text': 'Schedule')) 'type': 'button')) 'showLabel': False)) 'style': 'style6')) 'icon': 'ficon feather icon-calendar')) 'disableFormValidation': False)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'schedule')) 'showLoader': False}]}]}]}}
What is the purpose of 'pageAction' buttons in CBP?,{'Explanation': "The 'pageActions' array in CBP consists of button objects. Each button has 'text' for display purposes. \nThese buttons conduct actions like form submission)) URL redirection)) and opening popups. \n'icon' - sourced from Feather Icons with feather icon-[icon name]. For 'edit')) it's 'feather icon-edit'. \n'showLabel' - toggles text visibility on the button. \n'style' - determines colors)) ranging from style1 to style11. \n'disableFormValidation' - true skips validation)) executing onClick instantly. \n'onClick' - defines the actions to take.")) 'JSON': {'tenant': '105')) 'systemID': 'JTD415')) 'epic': 'SCH-PAYMENT')) 'pageName': 'PaymentProcessing')) 'version': 'Table')) 'businessComponent': 'Finance')) 'pageActions': [{'text': 'Process')) 'type': 'button')) 'showLabel': True)) 'style': 'style7')) 'icon': 'ficon feather icon-credit-card')) 'disableFormValidation': True)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'process')) 'showLoader': True}]}]}]}}
How do 'pageAction' buttons work in CBP?,{'Explanation': "'pageActions' in CBP is an array where each object is a button with specific keys like 'text' for display. \nThese buttons perform actions such as form submission)) URL redirection)) and popup opening. \n'icon' - comes from Feather Icons)) prefixed with feather icon-[icon name]. For 'edit')) it's 'feather icon-edit'. \n'showLabel' - specifies if text is shown on the button. \n'style' - sets the color scheme)) ranging from style1 to style11. \n'disableFormValidation' - true bypasses form validation)) directly executing onClick. \n'onClick' - outlines the actions to be executed.")) 'JSON': {'tenant': '106')) 'systemID': 'JTD416')) 'epic': 'SCH-REPORT')) 'pageName': 'MonthlyReport')) 'version': 'Chart')) 'businessComponent': 'Analytics')) 'pageActions': [{'text': 'Generate')) 'type': 'button')) 'showLabel': False)) 'style': 'style8')) 'icon': 'ficon feather icon-bar-chart')) 'disableFormValidation': False)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'generate')) 'showLoader': False}]}]}]}}
What role do 'pageAction' buttons have in CBP?,{'Explanation': "In CBP)) 'pageActions' is an array of objects)) each representing a button with keys like 'text' for the displayed text. \nThese buttons execute actions such as form submission)) URL redirection)) and popup opening. \n'icon' - uses Feather Icons)) prefixed with feather icon-[icon name]. For 'edit')) it's 'feather icon-edit'. \n'showLabel' - decides if the text is visible on the button. \n'style' - sets the button's appearance)) with options from style1 to style11. \n'disableFormValidation' - true skips validation)) executing onClick directly. \n'onClick' - specifies the actions to perform.")) 'JSON': {'tenant': '107')) 'systemID': 'JTD417')) 'epic': 'SCH-PROJECT')) 'pageName': 'ProjectTimeline')) 'version': 'Timeline')) 'businessComponent': 'Management')) 'pageActions': [{'text': 'Launch')) 'type': 'button')) 'showLabel': True)) 'style': 'style9')) 'icon': 'ficon feather icon-play')) 'disableFormValidation': True)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'launch')) 'showLoader': True}]}]}]}}
What are the functions of 'pageAction' buttons in CBP?,{'Explanation': "The 'pageActions' array in CBP consists of button objects with properties like 'text' for display text. \nThese buttons handle tasks such as form submission)) URL redirection)) and popup opening. \n'icon' - sourced from Feather Icons using feather icon-[icon name]. For 'edit')) it's 'feather icon-edit'. \n'showLabel' - controls if text is shown on the button. \n'style' - defines the button's color scheme)) from style1 to style11. \n'disableFormValidation' - true skips validation)) executing onClick instantly. \n'onClick' - details the actions to be executed.")) 'JSON': {'tenant': '108')) 'systemID': 'JTD418')) 'epic': 'SCH-APPROVAL')) 'pageName': 'ApprovalWorkflow')) 'version': 'Flow')) 'businessComponent': 'Workflow')) 'pageActions': [{'text': 'Approve')) 'type': 'button')) 'showLabel': False)) 'style': 'style10')) 'icon': 'ficon feather icon-check')) 'disableFormValidation': False)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'approve')) 'showLoader': False}]}]}]}}
How are 'pageAction' buttons structured in CBP?,{'Explanation': "In CBP)) 'pageActions' is an array containing button objects)) each with attributes such as 'text' for what is displayed. \nThese buttons perform actions like form submission)) URL redirection)) and opening popups. \n'icon' - icons are from Feather Icons)) prefixed with feather icon-[icon name]. For 'edit')) it's 'feather icon-edit'. \n'showLabel' - indicates if text is visible on the button. \n'style' - selects the color scheme)) from style1 to style11. \n'disableFormValidation' - if true)) bypasses validation)) executing onClick immediately. \n'onClick' - outlines the actions to perform.")) 'JSON': {'tenant': '109')) 'systemID': 'JTD419')) 'epic': 'SCH-MANAGEMENT')) 'pageName': 'ManagementDashboard')) 'version': 'Dashboard')) 'businessComponent': 'Leadership')) 'pageActions': [{'text': 'Analyze')) 'type': 'button')) 'showLabel': True)) 'style': 'style11')) 'icon': 'ficon feather icon-pie-chart')) 'disableFormValidation': True)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'analyze')) 'showLoader': True}]}]}]}}
What is the use of 'pageAction' buttons in CBP?,{'Explanation': "'pageActions' in CBP is an array of objects)) each representing a button with 'text' for display. \nThese buttons facilitate actions like form submission)) URL redirection)) and popup opening. \n'icon' - sourced from Feather Icons)) using feather icon-[icon name]. For 'edit')) it's 'feather icon-edit'. \n'showLabel' - shows or hides text on the button. \n'style' - specifies the button's appearance)) with options from style1 to style11. \n'disableFormValidation' - true skips validation)) directly executing onClick. \n'onClick' - details actions to take.")) 'JSON': {'tenant': '110')) 'systemID': 'JTD420')) 'epic': 'SCH-HELPDESK')) 'pageName': 'SupportTicketing')) 'version': 'List')) 'businessComponent': 'Support')) 'pageActions': [{'text': 'Resolve')) 'type': 'button')) 'showLabel': False)) 'style': 'style1')) 'icon': 'ficon feather icon-check-circle')) 'disableFormValidation': False)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'resolve')) 'showLoader': False}]}]}]}}
How do 'pageAction' buttons operate in CBP?,{'Explanation': "'pageActions' in CBP is an array of objects)) each representing a button with attributes like 'text' for display text. \nThese buttons perform operations such as form submission)) URL redirection)) and popup opening. \n'icon' - uses Feather Icons)) with the prefix feather icon-[icon name]. For 'edit')) it's 'feather icon-edit'. \n'showLabel' - determines if the button displays text. \n'style' - defines the colors)) ranging from style1 to style11. \n'disableFormValidation' - when true)) skips validation)) executing onClick directly. \n'onClick' - specifies actions to perform.")) 'JSON': {'tenant': '111')) 'systemID': 'JTD421')) 'epic': 'SCH-COMPLIANCE')) 'pageName': 'ComplianceCheck')) 'version': 'Grid')) 'businessComponent': 'Regulations')) 'pageActions': [{'text': 'Verify')) 'type': 'button')) 'showLabel': True)) 'style': 'style2')) 'icon': 'ficon feather icon-shield')) 'disableFormValidation': True)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'verify')) 'showLoader': True}]}]}]}}
Explain the 'pageAction' functionality in CBP.,{'Explanation': "In CBP)) 'pageActions' is an array of button objects)) each with 'text' indicating what is displayed. \nThese buttons trigger actions like form submission)) URL redirection)) and opening popups. \n'icon' - sourced from Feather Icons)) with feather icon-[icon name]. For 'edit')) use 'feather icon-edit'. \n'showLabel' - shows or hides text on the button. \n'style' - determines the button's look)) from style1 to style11. \n'disableFormValidation' - true skips form validation)) executing onClick directly. \n'onClick' - defines the actions to execute.")) 'JSON': {'tenant': '112')) 'systemID': 'JTD422')) 'epic': 'SCH-AUDIT')) 'pageName': 'AuditTrail')) 'version': 'List')) 'businessComponent': 'Tracking')) 'pageActions': [{'text': 'Audit')) 'type': 'button')) 'showLabel': False)) 'style': 'style3')) 'icon': 'ficon feather icon-eye')) 'disableFormValidation': False)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'audit')) 'showLoader': False}]}]}]}}
Describe the purpose of 'pageAction' buttons in CBP.,{'Explanation': "'pageActions' in CBP consists of button objects with 'text' for what is displayed. \nThese buttons initiate tasks like form submission)) URL redirection)) and popup opening. \n'icon' - icons are from Feather Icons)) using feather icon-[icon name]. For 'edit')) it's 'feather icon-edit'. \n'showLabel' - indicates if the text should be shown on the button. \n'style' - defines the button's appearance)) available from style1 to style11. \n'disableFormValidation' - if true)) bypasses validation)) executing onClick directly. \n'onClick' - outlines the actions to perform.")) 'JSON': {'tenant': '113')) 'systemID': 'JTD423')) 'epic': 'SCH-COMMUNICATION')) 'pageName': 'Messaging')) 'version': 'Detail')) 'businessComponent': 'Communication')) 'pageActions': [{'text': 'Message')) 'type': 'button')) 'showLabel': True)) 'style': 'style4')) 'icon': 'ficon feather icon-message-circle')) 'disableFormValidation': True)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'message')) 'showLoader': True}]}]}]}}
What is the role of 'pageAction' buttons in CBP?,{'Explanation': "In CBP)) 'pageActions' is an array of button objects)) each with 'text' for the displayed text. \nThese buttons conduct actions such as form submission)) URL redirection)) and popup opening. \n'icon' - sourced from Feather Icons)) prefixed with feather icon-[icon name]. For 'edit')) it's 'feather icon-edit'. \n'showLabel' - shows or hides text on the button. \n'style' - sets the color scheme)) from style1 to style11. \n'disableFormValidation' - when true)) skips validation)) executing onClick instantly. \n'onClick' - specifies actions to perform.")) 'JSON': {'tenant': '114')) 'systemID': 'JTD424')) 'epic': 'SCH-COLLABORATION')) 'pageName': 'CollaborationTools')) 'version': 'Form')) 'businessComponent': 'Teamwork')) 'pageActions': [{'text': 'Collaborate')) 'type': 'button')) 'showLabel': False)) 'style': 'style5')) 'icon': 'ficon feather icon-users')) 'disableFormValidation': False)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'collaborate')) 'showLoader': False}]}]}]}}
What functions do 'pageAction' buttons serve in CBP?,{'Explanation': "'pageActions' in CBP is an array of button objects with attributes such as 'text' for display text. \nThese buttons handle actions like form submission)) URL redirection)) and popup opening. \n'icon' - uses Feather Icons with feather icon-[icon name]. For 'edit')) it's 'feather icon-edit'. \n'showLabel' - determines if the button shows text. \n'style' - specifies the appearance)) with options from style1 to style11. \n'disableFormValidation' - true skips validation)) executing onClick directly. \n'onClick' - outlines the actions to execute.")) 'JSON': {'tenant': '115')) 'systemID': 'JTD425')) 'epic': 'SCH-RESOURCE')) 'pageName': 'ResourceManagement')) 'version': 'Table')) 'businessComponent': 'HR')) 'pageActions': [{'text': 'Manage')) 'type': 'button')) 'showLabel': True)) 'style': 'style6')) 'icon': 'ficon feather icon-briefcase')) 'disableFormValidation': True)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'manage')) 'showLoader': True}]}]}]}}
How do 'pageAction' buttons function in CBP?,{'Explanation': "'pageActions' in CBP consists of button objects)) each with 'text' for display purposes. \nThese buttons execute tasks such as form submission)) URL redirection)) and popup opening. \n'icon' - sourced from Feather Icons)) using feather icon-[icon name]. For 'edit')) use 'feather icon-edit'. \n'showLabel' - indicates if text is visible on the button. \n'style' - sets the appearance)) ranging from style1 to style11. \n'disableFormValidation' - if true)) bypasses validation)) executing onClick instantly. \n'onClick' - specifies the actions to perform.")) 'JSON': {'tenant': '116')) 'systemID': 'JTD426')) 'epic': 'SCH-TRAINING')) 'pageName': 'TrainingSchedule')) 'version': 'Detail')) 'businessComponent': 'Development')) 'pageActions': [{'text': 'Train')) 'type': 'button')) 'showLabel': False)) 'style': 'style7')) 'icon': 'ficon feather icon-book-open')) 'disableFormValidation': False)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'train')) 'showLoader': False}]}]}]}}
What are the tasks of 'pageAction' buttons in CBP?,{'Explanation': "In CBP)) 'pageActions' is an array of objects)) each representing a button with 'text' for display. \nThese buttons perform tasks like form submission)) URL redirection)) and popup opening. \n'icon' - sourced from Feather Icons)) prefixed with feather icon-[icon name]. For 'edit')) use 'feather icon-edit'. \n'showLabel' - toggles text visibility on the button. \n'style' - determines the color scheme)) available from style1 to style11. \n'disableFormValidation' - if true)) bypasses validation)) executing onClick directly. \n'onClick' - details actions to execute.")) 'JSON': {'tenant': '117')) 'systemID': 'JTD427')) 'epic': 'SCH-ASSET')) 'pageName': 'AssetInventory')) 'version': 'Grid')) 'businessComponent': 'Operations')) 'pageActions': [{'text': 'Inventory')) 'type': 'button')) 'showLabel': True)) 'style': 'style8')) 'icon': 'ficon feather icon-box')) 'disableFormValidation': True)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'inventory')) 'showLoader': True}]}]}]}}
What are the responsibilities of 'pageAction' buttons in CBP?,{'Explanation': "'pageActions' in CBP is an array where each object is a button with 'text' for display. \nThese buttons handle actions like form submission)) URL redirection)) and opening popups. \n'icon' - sourced from Feather Icons using feather icon-[icon name]. For 'edit')) use 'feather icon-edit'. \n'showLabel' - indicates if the button shows text. \n'style' - defines the appearance)) ranging from style1 to style11. \n'disableFormValidation' - true skips validation)) executing onClick directly. \n'onClick' - outlines the actions to take.")) 'JSON': {'tenant': '118')) 'systemID': 'JTD428')) 'epic': 'SCH-SAFETY')) 'pageName': 'SafetyInspection')) 'version': 'List')) 'businessComponent': 'Compliance')) 'pageActions': [{'text': 'Inspect')) 'type': 'button')) 'showLabel': False)) 'style': 'style9')) 'icon': 'ficon feather icon-alert-triangle')) 'disableFormValidation': False)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'inspect')) 'showLoader': False}]}]}]}}
How are 'pageAction' buttons utilized in CBP?,{'Explanation': "'pageActions' in CBP is an array of objects)) each representing a button with 'text' for display purposes. \nThese buttons facilitate actions like form submission)) URL redirection)) and popup opening. \n'icon' - sourced from Feather Icons with feather icon-[icon name]. For 'edit')) use 'feather icon-edit'. \n'showLabel' - determines if text is shown on the button. \n'style' - specifies the button's appearance)) from style1 to style11. \n'disableFormValidation' - when true)) skips validation)) executing onClick directly. \n'onClick' - details the actions to execute.")) 'JSON': {'tenant': '119')) 'systemID': 'JTD429')) 'epic': 'SCH-FINANCE')) 'pageName': 'BudgetPlanning')) 'version': 'Table')) 'businessComponent': 'Accounting')) 'pageActions': [{'text': 'Plan')) 'type': 'button')) 'showLabel': True)) 'style': 'style10')) 'icon': 'ficon feather icon-trending-up')) 'disableFormValidation': True)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'plan')) 'showLoader': True}]}]}]}}
What are the purposes of 'pageAction' buttons in CBP?,{'Explanation': "In CBP)) 'pageActions' consists of button objects)) each with attributes like 'text' for display. \nThese buttons perform actions such as form submission)) URL redirection)) and popup opening. \n'icon' - uses Feather Icons)) prefixed with feather icon-[icon name]. For 'edit')) it's 'feather icon-edit'. \n'showLabel' - shows or hides text on the button. \n'style' - sets the button's colors)) from style1 to style11. \n'disableFormValidation' - if true)) skips validation)) executing onClick instantly. \n'onClick' - specifies the actions to perform.")) 'JSON': {'tenant': '120')) 'systemID': 'JTD430')) 'epic': 'SCH-SALES')) 'pageName': 'SalesPipeline')) 'version': 'Chart')) 'businessComponent': 'CRM')) 'pageActions': [{'text': 'Sell')) 'type': 'button')) 'showLabel': False)) 'style': 'style11')) 'icon': 'ficon feather icon-dollar-sign')) 'disableFormValidation': False)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'sell')) 'showLoader': False}]}]}]}}
How are 'pageAction' buttons utilized in CBP?,{'Explanation': "pageActions is a list of objects)) each representing a button. The keys define: text - the button label. Page action buttons perform actions like submitting forms)) redirecting)) opening popups)) or downloading content. icon - icons are taken from Feather Icons)) prefixed with feather icon-[icon name]. For example)) the edit icon would be 'feather icon-edit'. showLabel - determines if the text is shown on the button. style - sets button colors)) with style1 to style11 available. disableFormValidation - if true)) skips form validation before onClick. onClick - defines the button's actions.")) 'JSON': {'tenant': '101')) 'systemID': 'JTD411')) 'epic': 'SCH-CLIENT')) 'pageName': 'TechnicalEvaluation')) 'version': 'Form')) 'businessComponent': 'RFP')) 'pageActions': [{'text': 'Submit')) 'type': 'button')) 'showLabel': False)) 'style': 'style3')) 'icon': 'ficon feather icon-save')) 'disableFormValidation': False)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'navigate')) 'showLoader': False}]}]}]}}
Can you explain 'pageAction' buttons in CBP?,{'Explanation': "pageActions is an array where each object is a button. Keys include: text - button's display text. Page action buttons enable actions like form submission)) URL redirection)) popup opening)) and downloads. icon - choose icons from Feather Icons using the prefix feather icon-[name]. For edit)) it's 'feather icon-edit'. showLabel - specifies if the button text is visible. style - determines button background and text color)) ranging from style1 to style11. disableFormValidation - if true)) bypasses form validation when onClick executes. onClick - lists actions to perform.")) 'JSON': {'tenant': '102')) 'systemID': 'JTD412')) 'epic': 'SCH-PROCUREMENT')) 'pageName': 'FinancialEvaluation')) 'version': 'Dashboard')) 'businessComponent': 'RFQ')) 'pageActions': [{'text': 'Download')) 'type': 'submit')) 'showLabel': True)) 'style': 'style4')) 'icon': 'ficon feather icon-download')) 'disableFormValidation': True)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'download')) 'showLoader': True}]}]}]}}
What are the functions of 'pageAction' buttons in CBP?,{'Explanation': "pageActions is a collection of objects)) each representing a button. The keys serve purposes like: text - the text shown on the button. Page action buttons facilitate actions such as submitting forms)) URL redirection)) popup activation)) and file downloads. icon - use Feather Icons with prefix feather icon-[name]. For instance)) 'feather icon-edit' for edit icon. showLabel - controls the visibility of button text. style - defines button's color scheme)) with options style1 through style11. disableFormValidation - if true)) skips form validation for onClick. onClick - specifies the actions to undertake.")) 'JSON': {'tenant': '103')) 'systemID': 'JTD413')) 'epic': 'SCH-CONTRACT')) 'pageName': 'Negotiation')) 'version': 'Table')) 'businessComponent': 'RFP')) 'pageActions': [{'text': 'Approve')) 'type': 'button')) 'showLabel': True)) 'style': 'style5')) 'icon': 'ficon feather icon-check')) 'disableFormValidation': False)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'approve')) 'showLoader': False}]}]}]}}
Describe the 'pageAction' button structure in CBP.,{'Explanation': "pageActions is an array of objects)) each indicating a button. Each key has a role: text - the label on the button. Page action buttons execute tasks like form submissions)) redirections)) popup initiations)) and content downloads. icon - select icons from Feather Icons)) prefixed as feather icon-[name]. For example)) 'feather icon-edit' for edit. showLabel - decides if the button's text is displayed. style - sets the button's color palette)) from style1 to style11. disableFormValidation - if true)) allows onClick to proceed without form validation. onClick - outlines the actions to execute.")) 'JSON': {'tenant': '104')) 'systemID': 'JTD414')) 'epic': 'SCH-LOGISTICS')) 'pageName': 'OrderManagement')) 'version': 'Grid')) 'businessComponent': 'RFI')) 'pageActions': [{'text': 'Reject')) 'type': 'submit')) 'showLabel': False)) 'style': 'style6')) 'icon': 'ficon feather icon-x')) 'disableFormValidation': True)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'reject')) 'showLoader': True}]}]}]}}
What roles do 'pageAction' buttons have in CBP?,{'Explanation': "pageActions is a list of button objects. The keys include: text - the button's label. Page action buttons enable functions like submitting forms)) redirecting)) opening popups)) and downloading files. icon - select from Feather Icons using feather icon-[name]. For edit)) it�s 'feather icon-edit'. showLabel - indicates if the button text is shown. style - determines button's color)) with style1 to style11 available. disableFormValidation - when true)) allows onClick to run without form validation. onClick - defines the actions to perform.")) 'JSON': {'tenant': '105')) 'systemID': 'JTD415')) 'epic': 'SCH-MANUFACTURING')) 'pageName': 'ProductionSchedule')) 'version': 'Form')) 'businessComponent': 'RFP')) 'pageActions': [{'text': 'Export')) 'type': 'button')) 'showLabel': True)) 'style': 'style7')) 'icon': 'ficon feather icon-share')) 'disableFormValidation': False)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'export')) 'showLoader': False}]}]}]}}
Explain the structure of 'pageAction' buttons in CBP.,{'Explanation': "pageActions is an array of button objects. Each key has a specific role: text - label displayed on the button. Page action buttons handle actions like form submissions)) URL redirects)) pop-ups)) and downloads. icon - use Feather Icons prefixed with feather icon-[name]. E.g.)) 'feather icon-edit' for edit. showLabel - toggles the visibility of button text. style - specifies the button's color scheme)) available from style1 to style11. disableFormValidation - true allows onClick actions to bypass form validation. onClick - details the actions to take.")) 'JSON': {'tenant': '106')) 'systemID': 'JTD416')) 'epic': 'SCH-RETAIL')) 'pageName': 'InventoryControl')) 'version': 'Dashboard')) 'businessComponent': 'RFI')) 'pageActions': [{'text': 'Refresh')) 'type': 'submit')) 'showLabel': True)) 'style': 'style8')) 'icon': 'ficon feather icon-refresh-cw')) 'disableFormValidation': True)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'refresh')) 'showLoader': True}]}]}]}}
What are the key elements of 'pageAction' buttons in CBP?,{'Explanation': "pageActions is a collection of objects each describing a button. Keys and purposes: text - button's text label. Page action buttons perform tasks such as form submissions)) redirections)) popup displays)) and file downloads. icon - sourced from Feather Icons)) prefixed as feather icon-[name]. For example)) 'feather icon-edit' for an edit button. showLabel - decides if the button text is visible. style - sets the button's style and color)) from style1 to style11. disableFormValidation - if set to true)) permits onClick without form validation. onClick - lists the actions to execute.")) 'JSON': {'tenant': '107')) 'systemID': 'JTD417')) 'epic': 'SCH-SALES')) 'pageName': 'CustomerManagement')) 'version': 'Table')) 'businessComponent': 'RFQ')) 'pageActions': [{'text': 'Delete')) 'type': 'button')) 'showLabel': False)) 'style': 'style9')) 'icon': 'ficon feather icon-trash-2')) 'disableFormValidation': False)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'delete')) 'showLoader': False}]}]}]}}
Discuss the 'pageAction' button configuration in CBP.,{'Explanation': "pageActions is an array containing button objects. Keys and uses: text - the button's displayed text. Page action buttons execute functionalities like form submissions)) redirections)) popups)) and content downloads. icon - selected from Feather Icons)) using feather icon-[name]. For example)) 'feather icon-edit'. showLabel - controls if the button text is visible. style - defines the button's visual style from style1 to style11. disableFormValidation - if true)) skips form validation when onClick is triggered. onClick - lists the actions to carry out.")) 'JSON': {'tenant': '108')) 'systemID': 'JTD418')) 'epic': 'SCH-DISTRIBUTION')) 'pageName': 'DeliverySchedule')) 'version': 'Grid')) 'businessComponent': 'RFI')) 'pageActions': [{'text': 'Print')) 'type': 'submit')) 'showLabel': True)) 'style': 'style10')) 'icon': 'ficon feather icon-printer')) 'disableFormValidation': True)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'print')) 'showLoader': True}]}]}]}}
What functionalities do 'pageAction' buttons provide in CBP?,{'Explanation': "pageActions is an array of objects)) each a button. Keys include: text - button label. Page action buttons handle actions like form submissions)) URL redirection)) popup opening)) and downloading content. icon - choose from Feather Icons with feather icon-[name]. For edit)) 'feather icon-edit' is used. showLabel - specifies if the text appears on the button. style - sets the button's appearance)) styles range from style1 to style11. disableFormValidation - if true)) allows onClick to bypass form validation. onClick - outlines the actions to perform.")) 'JSON': {'tenant': '109')) 'systemID': 'JTD419')) 'epic': 'SCH-TRANSPORT')) 'pageName': 'FleetManagement')) 'version': 'Form')) 'businessComponent': 'RFQ')) 'pageActions': [{'text': 'Schedule')) 'type': 'button')) 'showLabel': True)) 'style': 'style11')) 'icon': 'ficon feather icon-calendar')) 'disableFormValidation': False)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'schedule')) 'showLoader': False}]}]}]}}
Identify the roles of 'pageAction' buttons in CBP.,{'Explanation': "pageActions is a list of objects where each corresponds to a button. Key functions: text - the button's label. Page action buttons facilitate actions like form submissions)) redirecting)) popup initiations)) and file downloads. icon - selected from Feather Icons)) prefixed as feather icon-[name]. An example)) 'feather icon-edit' for the edit button. showLabel - determines if the button's text is displayed. style - dictates the button's style and color)) styles available from style1 to style11. disableFormValidation - if true)) permits onClick to proceed without validating the form. onClick - lists the actions to perform.")) 'JSON': {'tenant': '110')) 'systemID': 'JTD420')) 'epic': 'SCH-FINANCE')) 'pageName': 'BudgetPlanning')) 'version': 'Dashboard')) 'businessComponent': 'RFP')) 'pageActions': [{'text': 'Calculate')) 'type': 'submit')) 'showLabel': False)) 'style': 'style1')) 'icon': 'ficon feather icon-dollar-sign')) 'disableFormValidation': True)) 'onClick': [{'actions': [{'action': 'executePageAction')) 'actionPerformed': 'calculate')) 'showLoader': True}]}]}]}}
